age,workclass,educational-num,occupation,hours-per-week,income_>50K
80,Self-emp-not-inc,9,Farming-fishing,30,0
52,Private,9,Other-service,40,0
56,Private,9,Craft-repair,40,0
27,State-gov,13,Prof-specialty,40,0
49,Self-emp-inc,13,Sales,40,1
73,Local-gov,10,Prof-specialty,11,0
59,Local-gov,5,Other-service,40,0
33,Private,13,Prof-specialty,45,1
39,Private,10,Sales,65,0
33,Local-gov,10,Other-service,35,0
52,Private,9,Priv-house-serv,40,0
30,Private,10,Craft-repair,45,1
66,?,6,?,40,0
46,Private,9,Prof-specialty,40,0
57,Private,14,Prof-specialty,45,1
19,?,9,?,35,0
31,Private,13,Other-service,25,0
43,Local-gov,8,Transport-moving,40,0
51,Private,10,Sales,50,1
30,Federal-gov,13,Prof-specialty,40,0
29,Private,2,Other-service,40,0
64,Federal-gov,9,Adm-clerical,40,0
69,Self-emp-not-inc,5,Adm-clerical,40,0
22,Private,13,Exec-managerial,40,0
17,Private,7,Other-service,20,0
25,?,13,?,15,0
41,Private,9,Protective-serv,40,0
63,Private,14,Tech-support,40,0
23,Private,4,Machine-op-inspct,40,0
33,Private,9,Machine-op-inspct,40,0
23,Private,10,Sales,40,0
18,Self-emp-inc,9,Farming-fishing,8,0
37,Private,9,Adm-clerical,68,0
32,State-gov,13,Tech-support,20,0
36,Private,13,Sales,35,1
31,Private,14,Prof-specialty,30,0
55,Private,9,Protective-serv,20,0
26,Private,11,Sales,35,0
55,Private,14,Prof-specialty,40,0
46,Private,9,Adm-clerical,40,0
26,Private,9,Adm-clerical,48,0
35,Private,13,Transport-moving,40,0
47,Local-gov,16,Exec-managerial,40,1
23,Private,13,Sales,40,0
29,Private,11,Craft-repair,40,0
36,Private,13,Exec-managerial,55,1
36,Private,10,Craft-repair,60,0
23,Private,11,Craft-repair,33,0
51,Self-emp-not-inc,9,Exec-managerial,45,1
32,Local-gov,13,Adm-clerical,40,0
55,Private,9,Craft-repair,48,1
18,Private,10,Other-service,16,0
50,Local-gov,9,Machine-op-inspct,48,1
20,Private,10,Other-service,35,0
23,Private,6,Handlers-cleaners,40,0
32,Self-emp-inc,10,Sales,99,1
58,Local-gov,12,Adm-clerical,40,0
37,Private,13,Sales,40,0
29,Local-gov,7,Other-service,20,0
31,Private,9,Farming-fishing,45,0
19,Private,9,Adm-clerical,40,0
63,Local-gov,10,Protective-serv,35,0
34,Private,9,Machine-op-inspct,40,0
33,Self-emp-not-inc,14,Prof-specialty,8,0
47,Private,10,Exec-managerial,60,1
32,Self-emp-inc,10,Exec-managerial,50,1
65,?,7,?,29,0
42,State-gov,9,Protective-serv,72,1
26,Private,7,Craft-repair,40,0
38,Private,5,Craft-repair,40,0
54,State-gov,14,Prof-specialty,40,0
43,Self-emp-not-inc,9,Craft-repair,35,0
27,Private,10,Sales,40,0
39,Private,10,Exec-managerial,56,0
55,Private,14,Exec-managerial,62,1
42,Private,10,Prof-specialty,50,1
62,?,13,?,4,0
30,Private,13,Prof-specialty,40,1
28,Private,13,Exec-managerial,40,0
27,Federal-gov,9,Craft-repair,20,0
57,Private,3,Machine-op-inspct,40,0
53,Private,16,Prof-specialty,40,0
20,Private,9,Craft-repair,40,0
26,Private,12,Exec-managerial,40,0
19,Private,10,Adm-clerical,35,0
23,Local-gov,13,Prof-specialty,43,0
44,Private,14,Exec-managerial,40,1
43,State-gov,9,Transport-moving,60,0
65,Local-gov,9,Other-service,25,0
55,Private,14,Exec-managerial,60,1
17,Private,5,Sales,15,0
56,Private,6,Craft-repair,45,0
43,Private,7,Transport-moving,40,0
37,Private,9,Tech-support,45,0
40,Federal-gov,13,Adm-clerical,40,0
27,Private,10,Adm-clerical,40,0
60,Private,9,Exec-managerial,45,1
20,Private,9,Sales,40,0
69,Private,4,Machine-op-inspct,40,0
63,Local-gov,13,Prof-specialty,21,0
42,Private,9,Exec-managerial,48,0
19,Private,9,Machine-op-inspct,40,0
26,Local-gov,10,Prof-specialty,40,0
34,Federal-gov,16,Prof-specialty,99,0
66,Private,10,Sales,40,0
40,Private,9,Craft-repair,50,0
26,Private,10,Handlers-cleaners,30,0
24,Private,9,Machine-op-inspct,50,0
50,Self-emp-inc,10,Sales,60,1
34,State-gov,9,Adm-clerical,20,0
41,Private,15,Prof-specialty,50,1
49,Local-gov,12,Adm-clerical,30,0
24,Private,10,Adm-clerical,40,0
55,Self-emp-not-inc,9,Craft-repair,35,0
36,Self-emp-not-inc,13,Sales,45,0
31,Private,8,Other-service,21,0
56,Private,9,Craft-repair,40,0
42,Self-emp-not-inc,13,Sales,50,1
23,Private,9,Exec-managerial,30,0
46,Self-emp-not-inc,15,Prof-specialty,35,1
40,Private,10,Other-service,30,0
44,Private,14,Exec-managerial,50,0
27,Private,10,Sales,55,0
21,?,4,?,40,0
58,Self-emp-not-inc,14,Exec-managerial,50,0
60,Private,13,Prof-specialty,35,0
40,Private,11,Prof-specialty,40,1
19,Private,5,Handlers-cleaners,40,0
27,Local-gov,9,Transport-moving,40,0
41,Private,9,Handlers-cleaners,40,1
32,Private,9,Craft-repair,40,0
47,Self-emp-inc,9,Machine-op-inspct,48,0
50,Private,9,Exec-managerial,50,1
21,Private,9,Machine-op-inspct,37,0
18,Private,8,Sales,16,0
24,Self-emp-inc,13,Sales,40,0
38,Private,9,Machine-op-inspct,40,0
45,Private,9,Craft-repair,40,0
69,Private,4,Other-service,20,0
32,Self-emp-not-inc,13,Farming-fishing,70,0
21,Private,9,Craft-repair,32,0
19,?,10,?,40,0
45,?,9,?,38,0
64,Private,13,Prof-specialty,30,0
28,Private,13,Sales,45,1
41,?,9,?,28,0
49,Private,14,Exec-managerial,75,0
59,Private,7,Transport-moving,40,0
50,State-gov,9,Transport-moving,40,0
58,State-gov,9,Other-service,40,0
46,Local-gov,14,Prof-specialty,50,1
38,Private,9,Craft-repair,50,0
38,Private,10,Craft-repair,40,1
28,Local-gov,12,Craft-repair,5,0
25,Private,13,Exec-managerial,40,0
29,Private,15,Prof-specialty,55,0
33,Federal-gov,9,Exec-managerial,40,0
33,Self-emp-not-inc,9,Craft-repair,40,0
30,Private,9,Machine-op-inspct,40,0
36,Private,12,Exec-managerial,50,1
22,?,9,?,8,0
35,Private,9,Sales,40,0
56,?,9,?,40,0
40,Private,9,Craft-repair,45,0
27,Private,10,Machine-op-inspct,40,0
43,Federal-gov,9,Adm-clerical,35,0
38,Private,9,Machine-op-inspct,40,0
39,Private,12,Adm-clerical,45,0
20,Private,5,Transport-moving,35,0
32,Private,10,Other-service,35,0
43,Private,13,Prof-specialty,40,0
41,Federal-gov,13,Exec-managerial,40,1
39,Private,9,Handlers-cleaners,40,0
32,Private,9,Craft-repair,36,0
28,Private,9,Craft-repair,45,0
24,Private,9,Craft-repair,36,0
51,Self-emp-inc,13,Protective-serv,40,1
38,Private,10,Craft-repair,40,0
23,Private,11,Craft-repair,40,0
46,Private,9,Craft-repair,40,1
48,Private,4,Transport-moving,55,0
43,Self-emp-not-inc,10,Farming-fishing,50,0
17,Private,6,Sales,24,0
41,Private,9,Sales,20,0
30,State-gov,13,Prof-specialty,40,1
25,Private,9,Craft-repair,40,0
26,Private,10,Machine-op-inspct,40,0
48,Local-gov,9,Craft-repair,40,1
48,Private,14,Machine-op-inspct,40,0
51,Self-emp-not-inc,15,Prof-specialty,40,0
31,Self-emp-not-inc,13,Exec-managerial,60,0
24,State-gov,13,Prof-specialty,40,0
58,Private,9,Other-service,40,0
36,Private,9,Craft-repair,40,1
40,Private,5,Craft-repair,49,0
67,?,3,?,40,0
47,Private,13,Adm-clerical,40,0
39,State-gov,16,Prof-specialty,50,1
35,Private,13,Exec-managerial,50,1
22,Private,10,Adm-clerical,40,0
45,Self-emp-not-inc,14,Sales,40,1
25,Private,9,Other-service,48,0
21,Private,9,Adm-clerical,25,0
55,Local-gov,10,Adm-clerical,40,0
26,Private,13,Adm-clerical,45,0
38,Private,9,Adm-clerical,35,0
44,Private,8,Transport-moving,40,0
43,Private,7,Handlers-cleaners,25,0
18,Private,10,Sales,15,0
35,Private,10,Exec-managerial,70,0
31,Private,14,Prof-specialty,30,0
53,Federal-gov,13,Adm-clerical,40,1
49,Private,9,Craft-repair,40,0
28,Private,12,Sales,30,0
42,?,10,?,45,0
24,Private,13,Tech-support,40,0
61,?,9,?,16,0
26,Private,9,Sales,40,0
53,Private,5,Craft-repair,40,0
18,Self-emp-not-inc,9,Other-service,40,0
51,Private,2,Other-service,35,0
33,Private,7,Sales,40,0
58,Self-emp-not-inc,13,Farming-fishing,25,0
19,?,10,?,22,0
32,Private,13,Sales,60,1
63,Private,1,Prof-specialty,30,0
69,Private,15,Prof-specialty,3,0
43,Private,14,Exec-managerial,50,1
34,Private,10,Sales,50,0
38,Private,10,Craft-repair,40,0
40,Private,4,Craft-repair,60,0
44,Private,5,Other-service,50,0
59,?,11,?,48,0
35,Private,9,Transport-moving,40,0
48,Private,10,Tech-support,40,1
22,Private,10,Craft-repair,35,0
44,Private,10,Exec-managerial,40,1
36,Private,10,Craft-repair,40,0
51,Local-gov,9,Protective-serv,52,0
34,Private,14,Sales,40,0
34,Private,10,Sales,60,0
62,Private,2,Priv-house-serv,30,0
22,Private,10,Craft-repair,40,0
37,Private,6,Transport-moving,35,0
22,Local-gov,13,Prof-specialty,20,0
24,Private,9,Handlers-cleaners,36,0
72,?,9,?,40,0
45,Private,8,Craft-repair,40,0
42,Private,9,Craft-repair,40,0
30,Private,9,Craft-repair,35,1
35,Private,9,Exec-managerial,55,1
37,Private,9,Craft-repair,40,0
45,Private,14,Sales,40,1
20,Private,9,Craft-repair,55,0
40,Private,9,Adm-clerical,46,1
57,Self-emp-not-inc,9,Farming-fishing,20,0
45,Self-emp-not-inc,13,Craft-repair,20,0
31,Private,10,Craft-repair,40,0
21,Private,10,Adm-clerical,40,0
29,Private,8,Transport-moving,40,1
29,Private,9,Machine-op-inspct,40,0
41,Private,9,Craft-repair,40,0
27,Local-gov,12,Prof-specialty,40,0
69,?,16,?,50,1
36,Private,9,Sales,45,0
76,?,4,?,7,0
42,Private,9,Sales,60,1
42,Private,9,Craft-repair,40,1
26,Private,13,Sales,75,1
61,State-gov,14,Exec-managerial,40,1
43,Private,14,Exec-managerial,50,1
30,Self-emp-not-inc,9,Exec-managerial,45,0
55,Private,13,Sales,60,1
50,Private,14,Exec-managerial,50,1
34,Private,9,Adm-clerical,40,0
33,Private,10,Adm-clerical,40,0
19,Private,9,Craft-repair,35,0
32,Private,14,Sales,50,1
60,Local-gov,14,Prof-specialty,52,1
56,Self-emp-not-inc,10,Sales,60,1
66,Private,11,Adm-clerical,30,0
22,Private,10,Adm-clerical,35,0
36,Self-emp-not-inc,13,Exec-managerial,50,0
56,Private,13,Prof-specialty,50,1
19,Private,10,Sales,20,0
21,?,9,?,40,0
40,Private,10,Transport-moving,48,1
35,Private,9,Machine-op-inspct,48,0
62,Local-gov,9,Transport-moving,40,0
45,Federal-gov,9,Tech-support,40,0
60,Private,9,Adm-clerical,40,0
59,Private,9,Machine-op-inspct,40,0
36,Private,15,Prof-specialty,50,1
35,Private,8,Farming-fishing,20,0
40,Private,10,Adm-clerical,40,0
32,Local-gov,13,Prof-specialty,40,0
41,Self-emp-inc,13,Sales,60,1
52,Private,9,Sales,8,0
63,Local-gov,10,Adm-clerical,40,0
37,Self-emp-not-inc,15,Prof-specialty,40,1
29,Private,9,Sales,40,0
17,Private,8,Other-service,6,0
22,Private,10,Adm-clerical,40,0
29,Local-gov,9,Transport-moving,40,0
21,?,10,?,20,0
73,?,15,?,40,0
33,Private,9,Exec-managerial,40,0
21,Private,10,Craft-repair,40,0
24,Private,13,Prof-specialty,40,0
50,Private,9,Craft-repair,50,1
56,Private,9,Sales,44,0
30,Local-gov,9,Prof-specialty,40,0
50,Private,14,Sales,40,1
55,Private,9,Craft-repair,40,0
53,Federal-gov,9,Transport-moving,40,1
80,Private,15,Prof-specialty,35,1
58,Private,12,Machine-op-inspct,40,1
36,Private,10,Machine-op-inspct,40,1
22,Private,7,Craft-repair,40,0
66,State-gov,9,Exec-managerial,40,1
61,Federal-gov,14,Tech-support,40,1
32,Private,13,Exec-managerial,55,0
53,Local-gov,9,Exec-managerial,60,0
40,Private,12,Exec-managerial,40,1
19,Private,10,Other-service,25,0
29,Private,9,Craft-repair,40,0
21,Private,10,Tech-support,35,0
28,Private,13,Exec-managerial,50,1
30,Private,9,Machine-op-inspct,43,0
41,Private,9,Sales,50,1
45,Self-emp-inc,12,Exec-managerial,50,1
31,Private,10,Transport-moving,50,0
24,Private,13,Adm-clerical,30,0
43,Self-emp-not-inc,13,Farming-fishing,70,1
28,Private,13,Sales,40,0
60,?,13,?,12,0
67,?,13,?,60,1
26,Private,13,Tech-support,40,0
34,?,10,?,6,1
23,Private,13,Adm-clerical,40,0
48,Private,12,Craft-repair,40,0
34,Private,14,Sales,60,1
38,Private,10,Prof-specialty,40,0
27,Local-gov,9,Protective-serv,40,0
30,Federal-gov,13,Protective-serv,60,1
40,Private,11,Craft-repair,40,0
44,Private,14,Exec-managerial,48,0
34,Private,13,Sales,45,0
30,Private,9,Other-service,28,0
50,Private,9,Sales,48,0
36,Private,9,Other-service,40,0
37,Private,13,Prof-specialty,45,1
18,?,8,?,20,0
20,Private,10,Exec-managerial,30,0
29,Private,13,Exec-managerial,40,0
34,Private,10,Exec-managerial,40,0
39,Self-emp-not-inc,9,Transport-moving,60,1
20,Self-emp-not-inc,10,Craft-repair,35,0
37,Private,12,Prof-specialty,45,0
25,Private,9,Transport-moving,70,0
30,Private,15,Prof-specialty,45,1
45,Self-emp-inc,13,Exec-managerial,48,1
32,Private,13,Prof-specialty,50,1
44,Private,11,Craft-repair,40,0
59,Self-emp-inc,11,Exec-managerial,40,1
45,Private,14,Exec-managerial,50,1
32,Private,13,Handlers-cleaners,50,1
49,Self-emp-not-inc,15,Prof-specialty,65,1
35,Private,6,Machine-op-inspct,45,0
49,Self-emp-not-inc,13,Sales,40,1
29,?,9,?,50,0
39,Private,9,Machine-op-inspct,40,0
37,Private,9,Sales,40,0
63,?,2,?,35,0
55,Local-gov,9,Craft-repair,40,1
22,Private,5,Priv-house-serv,40,0
32,Local-gov,13,Prof-specialty,35,0
30,Local-gov,14,Prof-specialty,40,0
30,Private,10,Prof-specialty,40,0
17,State-gov,6,Other-service,30,0
60,Private,10,Tech-support,50,0
49,Self-emp-not-inc,13,Sales,40,0
49,Private,13,Tech-support,40,0
49,Private,10,Craft-repair,30,0
32,Private,9,Craft-repair,48,0
22,Private,13,Prof-specialty,10,0
61,Local-gov,9,Other-service,40,0
44,Private,13,Prof-specialty,40,1
23,Federal-gov,10,Adm-clerical,25,0
34,Private,9,Machine-op-inspct,40,0
32,Private,15,Prof-specialty,40,0
47,Private,10,Exec-managerial,60,0
35,Private,10,Transport-moving,40,0
30,Private,12,Transport-moving,37,1
58,Private,10,Adm-clerical,39,0
38,Private,13,Exec-managerial,60,0
25,Private,10,Sales,40,0
37,Private,9,Transport-moving,40,0
24,Private,10,Adm-clerical,40,0
41,Private,13,Tech-support,25,1
44,Private,13,Exec-managerial,50,1
58,Self-emp-inc,10,Transport-moving,40,1
39,Private,13,Tech-support,50,0
45,Private,5,Other-service,40,1
36,Private,12,Tech-support,40,1
17,Private,7,Farming-fishing,45,0
45,Private,9,Machine-op-inspct,40,0
20,Private,9,Priv-house-serv,45,0
34,Private,10,Exec-managerial,50,1
28,Private,10,Handlers-cleaners,40,0
37,Self-emp-not-inc,13,Transport-moving,50,0
33,Private,11,Prof-specialty,26,0
63,Private,10,Sales,60,0
28,Private,5,Machine-op-inspct,40,0
23,Private,12,Craft-repair,40,0
90,Private,13,Exec-managerial,55,0
34,Private,9,Other-service,28,0
40,Private,9,Prof-specialty,40,1
65,Self-emp-not-inc,14,Prof-specialty,40,0
34,Private,10,Exec-managerial,50,0
46,Private,11,Prof-specialty,40,1
48,Private,10,Craft-repair,50,0
21,Private,9,Machine-op-inspct,50,0
35,Private,9,Sales,40,0
20,Private,9,Craft-repair,60,0
29,Private,13,Tech-support,40,0
49,Self-emp-not-inc,12,Exec-managerial,25,0
59,Private,9,Adm-clerical,45,1
46,Local-gov,6,Protective-serv,20,0
26,Private,13,Farming-fishing,40,0
26,Self-emp-inc,13,Exec-managerial,40,0
37,Private,9,Adm-clerical,42,0
30,Private,13,Sales,40,1
53,Private,14,Sales,40,0
36,Private,13,Transport-moving,40,0
33,Private,13,Adm-clerical,40,0
21,Private,9,Adm-clerical,40,0
32,Private,9,Adm-clerical,40,0
46,Self-emp-not-inc,9,Exec-managerial,40,1
36,Private,9,Adm-clerical,35,0
46,Private,13,Prof-specialty,45,1
21,Private,6,Prof-specialty,40,0
73,Private,9,Machine-op-inspct,40,0
20,?,10,?,40,0
39,Private,13,Exec-managerial,50,1
25,Private,9,Machine-op-inspct,40,0
38,Private,9,Craft-repair,40,0
56,Private,9,Other-service,37,0
22,Private,9,Machine-op-inspct,40,0
47,Private,13,Sales,45,0
44,Private,13,Adm-clerical,37,0
27,Private,14,Prof-specialty,45,0
35,Private,13,Exec-managerial,50,1
59,Private,9,Machine-op-inspct,40,1
31,Private,9,Craft-repair,40,0
45,Private,9,Machine-op-inspct,15,0
55,Self-emp-not-inc,9,Other-service,40,0
42,Self-emp-not-inc,15,Prof-specialty,40,1
31,Private,9,Transport-moving,38,0
41,State-gov,9,Tech-support,40,0
60,Private,9,Sales,65,1
24,Private,9,Craft-repair,40,0
44,Self-emp-not-inc,9,Transport-moving,55,0
58,Private,9,Other-service,24,0
39,Private,10,Exec-managerial,50,1
25,Private,9,Sales,48,0
42,Private,12,Tech-support,36,1
22,Private,9,Sales,40,0
39,Private,9,Adm-clerical,40,0
36,Private,9,Adm-clerical,40,0
26,Private,9,Other-service,40,0
53,Private,3,Handlers-cleaners,50,0
60,Self-emp-not-inc,9,Sales,45,0
28,Private,10,Exec-managerial,60,0
21,Private,7,Other-service,40,0
71,?,4,?,15,0
46,Local-gov,9,Other-service,40,0
62,Private,9,Craft-repair,45,1
29,Private,10,Sales,50,0
41,Private,10,Machine-op-inspct,40,1
21,State-gov,10,Craft-repair,35,0
25,Private,13,Tech-support,30,1
29,State-gov,14,Tech-support,50,0
47,State-gov,9,Adm-clerical,38,0
70,Private,6,Craft-repair,45,0
39,Private,10,Craft-repair,45,0
46,Private,10,Craft-repair,89,1
46,Private,7,Transport-moving,40,0
43,Private,10,Machine-op-inspct,40,0
27,Private,9,Exec-managerial,40,0
42,Private,9,Exec-managerial,40,1
57,Private,7,Handlers-cleaners,40,0
28,Private,9,Craft-repair,45,0
33,Private,9,Exec-managerial,50,0
36,Self-emp-inc,10,Sales,55,0
45,Private,9,Protective-serv,40,1
59,Private,9,Machine-op-inspct,40,0
25,Private,7,Craft-repair,40,0
67,?,14,?,2,0
45,Private,9,Machine-op-inspct,45,1
44,Self-emp-inc,13,Farming-fishing,65,1
26,Private,9,Sales,36,0
47,Private,7,Other-service,45,0
40,Private,6,Transport-moving,70,0
19,Private,9,Prof-specialty,40,0
40,Private,2,Machine-op-inspct,40,0
47,Private,7,Adm-clerical,40,0
54,Local-gov,9,Other-service,35,0
31,Private,10,Craft-repair,45,0
24,Private,9,Farming-fishing,55,0
56,Private,10,Adm-clerical,35,1
19,Private,7,Craft-repair,56,0
42,Private,10,Sales,45,1
67,Private,4,Craft-repair,40,0
49,State-gov,13,Exec-managerial,45,1
28,Private,9,Craft-repair,35,0
34,Local-gov,13,Prof-specialty,40,0
36,Private,2,Other-service,40,0
24,Private,9,Other-service,30,0
33,Private,7,Transport-moving,60,0
25,Private,10,Adm-clerical,42,0
45,Private,9,Transport-moving,45,0
40,Self-emp-not-inc,13,Other-service,20,0
28,Private,11,Craft-repair,40,0
24,Private,11,Sales,55,0
23,Private,10,Handlers-cleaners,32,0
32,Private,11,Craft-repair,55,1
40,State-gov,13,Adm-clerical,40,0
36,Private,9,Sales,35,1
32,Self-emp-inc,11,Exec-managerial,80,1
48,Private,14,Prof-specialty,50,1
38,Private,8,Machine-op-inspct,50,0
26,Private,10,Sales,40,0
28,Private,10,Exec-managerial,60,0
32,Private,10,Sales,47,0
43,Private,15,Farming-fishing,32,0
42,Private,10,Exec-managerial,40,0
64,?,9,?,38,0
61,Private,9,Adm-clerical,40,1
42,Self-emp-not-inc,15,Prof-specialty,50,1
21,?,10,?,40,0
47,Private,13,Tech-support,40,1
17,Never-worked,6,?,30,0
35,Private,10,Prof-specialty,40,0
33,Local-gov,11,Craft-repair,40,0
42,Private,11,Craft-repair,40,1
49,Private,13,Adm-clerical,40,0
44,Private,14,Prof-specialty,40,0
30,Private,9,Other-service,40,0
25,Private,13,Exec-managerial,43,0
34,Private,9,Machine-op-inspct,40,0
27,Private,8,Machine-op-inspct,50,0
32,Local-gov,12,Protective-serv,56,1
19,State-gov,10,Adm-clerical,15,0
29,Private,9,Craft-repair,65,0
23,Private,8,Craft-repair,50,0
23,Private,9,Craft-repair,40,0
24,Federal-gov,9,Adm-clerical,40,0
24,Private,10,Adm-clerical,25,0
46,Private,15,Prof-specialty,40,1
48,Private,9,Machine-op-inspct,36,0
31,Private,9,Craft-repair,40,0
36,Private,9,Transport-moving,40,1
31,State-gov,13,Prof-specialty,40,0
38,Private,10,Other-service,58,0
17,?,7,?,40,0
34,Private,10,Craft-repair,48,1
47,Private,9,Tech-support,40,0
41,Local-gov,13,Prof-specialty,35,1
54,Private,7,Machine-op-inspct,40,0
35,?,9,?,12,0
19,Private,10,Machine-op-inspct,20,0
26,Private,9,Craft-repair,48,0
24,Private,10,Sales,50,0
49,Private,9,Craft-repair,40,1
26,Private,9,Other-service,30,0
27,Private,2,Other-service,35,0
66,Self-emp-not-inc,15,Prof-specialty,50,0
53,Private,9,Priv-house-serv,40,0
25,State-gov,13,Prof-specialty,40,0
44,Self-emp-not-inc,12,Sales,50,0
28,State-gov,13,Prof-specialty,40,1
59,Private,9,Adm-clerical,15,0
38,Federal-gov,10,Adm-clerical,30,0
39,Private,12,Adm-clerical,25,1
40,Private,14,Prof-specialty,45,1
74,State-gov,10,Sales,16,0
27,Self-emp-not-inc,9,Other-service,60,1
40,State-gov,13,Protective-serv,72,1
37,Private,13,Other-service,30,1
63,Private,9,Other-service,20,0
57,Private,9,Sales,40,1
29,Federal-gov,11,Tech-support,42,1
38,Private,11,Other-service,70,0
20,Private,5,Handlers-cleaners,40,0
36,Private,10,Sales,40,1
72,State-gov,4,Other-service,40,0
36,Private,10,Craft-repair,45,0
21,Private,9,Other-service,35,0
37,Private,5,Priv-house-serv,30,0
42,Private,9,Machine-op-inspct,40,1
51,Local-gov,16,Prof-specialty,40,1
48,Private,10,Sales,40,1
29,Private,9,Handlers-cleaners,40,0
37,Private,9,Sales,40,0
19,?,10,?,35,0
43,State-gov,13,Exec-managerial,35,1
23,Private,9,Adm-clerical,40,0
24,Local-gov,13,Prof-specialty,50,0
54,Private,9,Sales,50,0
35,Private,9,Transport-moving,60,0
63,Private,7,Sales,22,0
39,Private,13,Sales,40,0
47,Private,13,Other-service,25,0
31,Federal-gov,9,Handlers-cleaners,40,0
35,Private,10,Craft-repair,40,0
45,Private,12,Craft-repair,40,0
40,Private,10,Transport-moving,43,0
30,Private,14,Prof-specialty,40,0
31,Private,12,Adm-clerical,41,0
40,Local-gov,9,Adm-clerical,35,0
34,Private,9,Exec-managerial,38,0
25,Private,10,Machine-op-inspct,25,0
53,Private,9,Other-service,40,0
52,Private,9,Adm-clerical,40,0
33,Private,10,Adm-clerical,40,0
19,Private,8,Handlers-cleaners,40,0
24,Private,10,Sales,25,0
38,Local-gov,9,Handlers-cleaners,50,1
58,Self-emp-not-inc,9,Craft-repair,60,0
39,Private,10,Sales,40,1
18,Private,8,Sales,8,0
50,Private,13,Sales,50,0
53,Private,13,Sales,40,1
26,Private,10,Prof-specialty,50,0
31,Private,9,Adm-clerical,40,0
